"Title","RPI: Ave price - Bread: white loaf, sliced, 800g"
"CDID","CZOH"
"Source dataset ID","MM23"
"PreUnit",""
"Unit","Pence"
"Release date","15-12-2021"
"Next release","19 January 2022"
"Important notes",
"1968","8"
"1969","8"
"1970","9"
"1971","10"
"1972","10"
"1973","11"
"1974","14"
"1975","16"
"1976","18"
"1977","21"
"1978","26"
"1979","29"
"1980","33"
"1981","37"
"1982","37"
"1983","38"
"1984","38"
"1985","40"
"1986","43"
"1987","44"
"1988","46"
"1989","49"
"1990","50"
"1991","53"
"1992","54"
"1993","55"
"1994","50"
"1995","52"
"1996","55"
"1997","52"
"1998","51"
"1999","51"
"2000","52"
"2001","51"
"2002","57"
"2003","58"
"2004","64"
"2005","71"
"2006","81"
"2007","90"
"2008","119"
"2009","123"
"2010","120"
"2011","120"
"2012","124"
"2013","130"
"2014","116"
"2015","104"
"2016","100"
"2017","103"
"2018","106"
"2019","106"
"2020","105"
"1971 Q1","9"
"1971 Q2","10"
"1971 Q3","10"
"1971 Q4","10"
"1972 Q1","10"
"1972 Q2","10"
"1972 Q3","10"
"1972 Q4","10"
"1973 Q1","10"
"1973 Q2","10"
"1973 Q3","11"
"1973 Q4","11"
"1974 Q1","14"
"1974 Q2","14"
"1974 Q3","14"
"1974 Q4","14"
"1975 Q1","15"
"1975 Q2","16"
"1975 Q3","16"
"1975 Q4","16"
"1976 Q1","17"
"1976 Q2","17"
"1976 Q3","18"
"1976 Q4","20"
"1977 Q1","20"
"1977 Q2","21"
"1977 Q3","22"
"1977 Q4","23"
"1978 Q1","24"
"1978 Q2","26"
"1978 Q3","27"
"1978 Q4","27"
"1979 Q1","28"
"1979 Q2","29"
"1979 Q3","30"
"1979 Q4","31"
"1980 Q1","32"
"1980 Q2","33"
"1980 Q3","34"
"1980 Q4","34"
"1981 Q1","36"
"1981 Q2","36"
"1981 Q3","37"
"1981 Q4","37"
"1982 Q1","37"
"1982 Q2","37"
"1982 Q3","37"
"1982 Q4","37"
"1983 Q1","38"
"1983 Q2","38"
"1983 Q3","37"
"1983 Q4","37"
"1984 Q1","39"
"1984 Q2","39"
"1984 Q3","38"
"1984 Q4","38"
"1985 Q1","40"
"1985 Q2","40"
"1985 Q3","40"
"1985 Q4","41"
"1986 Q1","43"
"1986 Q2","43"
"1986 Q3","43"
