"Title","Gross Domestic Product: chained volume measures: Seasonally adjusted £m"
"CDID","ABMI"
"Source dataset ID","QNA"
"PreUnit","£"
"Unit","m"
"Release date","22-12-2021"
"Next release","11 February 2022"
"Important notes",
"1948","384083"
"1949","396845"
"1950","410079"
"1951","425257"
"1952","431636"
"1953","455625"
"1954","475447"
"1955","494517"
"1956","502864"
"1957","512806"
"1958","519690"
"1959","541887"
"1960","576144"
"1961","591529"
"1962","597893"
"1963","626797"
"1964","662544"
"1965","676536"
"1966","687017"
"1967","705998"
"1968","744483"
"1969","758753"
"1970","779191"
"1971","807283"
"1972","841952"
"1973","896657"
"1974","874193"
"1975","861030"
"1976","886970"
"1977","908576"
"1978","946515"
"1979","981743"
"1980","961530"
"1981","954866"
"1982","973684"
"1983","1014561"
"1984","1037295"
"1985","1080084"
"1986","1114157"
"1987","1174273"
"1988","1240052"
"1989","1270365"
"1990","1278416"
"1991","1263249"
"1992","1267206"
"1993","1297628"
"1994","1346524"
"1995","1379430"
"1996","1412926"
"1997","1482289"
"1998","1529040"
"1999","1574760"
"2000","1632591"
"2001","1666429"
"2002","1701811"
"2003","1753374"
"2004","1794677"
"2005","1841218"
"2006","1888797"
"2007","1931663"
"2008","1927034"
"2009","1845186"
"2010","1884515"
"2011","1911983"
"2012","1940087"
"2013","1976755"
"2014","2035883"
"2015","2089276"
"2016","2136566"
"2017","2182170"
"2018","2218196"
"2019","2255283"
"2020","2043373"
"1955 Q1","122480"
"1955 Q2","122587"
"1955 Q3","125065"
"1955 Q4","124385"
"1956 Q1","125815"
"1956 Q2","125593"
"1956 Q3","125447"
"1956 Q4","126009"
"1957 Q1","128529"
"1957 Q2","128542"
"1957 Q3","127752"
"1957 Q4","127983"
"1958 Q1","130799"
"1958 Q2","127691"
"1958 Q3","130533"
"1958 Q4","130667"
"1959 Q1","131520"
"1959 Q2","133707"
"1959 Q3","136581"
"1959 Q4","140079"
"1960 Q1","143570"
"1960 Q2","142468"
"1960 Q3","144621"
"1960 Q4","145485"
"1961 Q1","147857"
"1961 Q2","148483"
"1961 Q3","147723"
"1961 Q4","147466"
"1962 Q1","148126"
"1962 Q2","149496"
"1962 Q3","150431"
"1962 Q4","149840"
"1963 Q1","150468"
"1963 Q2","157076"
"1963 Q3","157838"
"1963 Q4","161415"
"1964 Q1","162418"
"1964 Q2","165445"
"1964 Q3","166080"
"1964 Q4","168601"
"1965 Q1","168089"
"1965 Q2","168213"
"1965 Q3","169597"
"1965 Q4","170637"
"1966 Q1","170920"
"1966 Q2","171922"
"1966 Q3","172457"
"1966 Q4","171718"
"1967 Q1","174034"
"1967 Q2","176506"
"1967 Q3","177284"
"1967 Q4","178174"
"1968 Q1","184678"
"1968 Q2","183948"
"1968 Q3","187559"
"1968 Q4","188298"
"1969 Q1","187827"
"1969 Q2","189315"
"1969 Q3","190360"
"1969 Q4","191251"
"1970 Q1","190038"
"1970 Q2","194525"
"1970 Q3","196458"
"1970 Q4","198170"
"1971 Q1","197189"
"1971 Q2","200725"
"1971 Q3","204291"
"1971 Q4","205078"
"1972 Q1","205311"
"1972 Q2","210739"
"1972 Q3","211309"
"1972 Q4","214593"
"1973 Q1","225247"
"1973 Q2","225549"
"1973 Q3","223418"
"1973 Q4","222443"
"1974 Q1","216353"
"1974 Q2","219445"
"1974 Q3","220813"
"1974 Q4","217582"
"1975 Q1","217713"
"1975 Q2","214124"
"1975 Q3","213374"
"1975 Q4","215819"
"1976 Q1","219387"
"1976 Q2","219103"
"1976 Q3","221890"
"1976 Q4","226590"
"1977 Q1","226632"
"1977 Q2","225007"
"1977 Q3","226539"
"1977 Q4","230398"
"1978 Q1","232433"
"1978 Q2","235149"
"1978 Q3","238389"
"1978 Q4","240544"
"1979 Q1","239688"
"1979 Q2","250229"
