,Country,Gender,Category,Frequency
0,USA,F,Outdoor,25
1,USA,F,Outdoor,25
2,GDR,F,Outdoor,5
3,TCH,F,Outdoor,3
4,RUS,F,Outdoor,9
5,ETH,F,Outdoor,12
6,NED,F,Outdoor,3
7,BDI,F,Outdoor,1
8,CHN,F,Outdoor,4
9,ETH,F,Outdoor,12
10,NED,F,Outdoor,3
11,ETH,F,Outdoor,12
12,KEN,F,Outdoor,18
13,ETH,F,Outdoor,12
14,MAR,F,Outdoor,4
15,KEN,F,Outdoor,18
16,KEN,F,Outdoor,18
17,BRN,F,Outdoor,1
18,NED,F,Outdoor,3
19,KEN,F,Outdoor,18
20,KEN,F,Outdoor,18
21,ETH,F,Outdoor,12
22,KEN,F,Outdoor,18
23,KEN,F,Outdoor,18
24,JPN,F,Outdoor,3
25,KEN,F,Outdoor,18
26,USA,F,Outdoor,25
27,USA,F,Outdoor,25
28,BUL,F,Outdoor,1
29,RUS,F,Outdoor,9
30,URS,F,Outdoor,6
31,VEN,F,Outdoor,2
32,URS,F,Outdoor,6
33,GDR,F,Outdoor,5
34,POL,F,Outdoor,1
35,CZE,F,Outdoor,2
36,USA,F,Outdoor,25
37,LTU,F,Outdoor,1
38,URS,F,Outdoor,6
39,RUS,F,Outdoor,9
40,CHN,F,Outdoor,4
41,CHN,F,Outdoor,4
42,USA,F,Outdoor,25
43,USA,F,Outdoor,25
44,URS,F,Outdoor,6
45,URS,F,Outdoor,6
46,USA,F,Outdoor,25
47,CHN,F,Outdoor,4
48,USA,F,Outdoor,25
0,JAM,M,Outdoor,5
1,JAM,M,Outdoor,5
2,RSA,M,Outdoor,1
3,KEN,M,Outdoor,18
4,KEN,M,Outdoor,18
5,MAR,M,Outdoor,4
6,MAR,M,Outdoor,4
7,MAR,M,Outdoor,4
8,KEN,M,Outdoor,18
9,UGA,M,Outdoor,4
10,UGA,M,Outdoor,4
11,UGA,M,Outdoor,4
12,KEN,M,Outdoor,18
13,GBR,M,Outdoor,3
14,KEN,M,Outdoor,18
15,UGA,M,Outdoor,4
16,KEN,M,Outdoor,18
17,JPN,M,Outdoor,3
18,QAT,M,Outdoor,1
19,USA,M,Outdoor,25
20,NOR,M,Outdoor,1
21,CUB,M,Outdoor,2
22,SWE,M,Outdoor,4
23,USA,M,Outdoor,25
24,GBR,M,Outdoor,3
25,USA,M,Outdoor,25
26,GDR,M,Outdoor,5
27,URS,M,Outdoor,6
28,CZE,M,Outdoor,2
29,FRA,M,Outdoor,3
30,MEX,M,Outdoor,1
31,JPN,M,Outdoor,3
32,ITA,M,Outdoor,1
33,FRA,M,Outdoor,3
34,FRA,M,Outdoor,3
35,JAM,M,Outdoor,5
36,JAM,M,Outdoor,5
37,USA,M,Outdoor,25
38,KEN,M,Outdoor,18
39,KEN,M,Outdoor,18
40,KEN,M,Outdoor,18
41,USA,M,Outdoor,25
0,USA,Mix,Outdoor,25
0,RUS,F,Indoor,9
1,RUS,F,Indoor,9
2,RUS,F,Indoor,9
3,JAM,F,Indoor,5
4,TCH,F,Indoor,3
5,SLO,F,Indoor,1
6,MOZ,F,Indoor,1
7,ETH,F,Indoor,12
8,ETH,F,Indoor,12
9,ETH,F,Indoor,12
10,ETH,F,Indoor,12
11,GDR,F,Indoor,5
12,SWE,F,Indoor,4
13,SWE,F,Indoor,4
14,USA,F,Indoor,25
15,GDR,F,Indoor,5
16,VEN,F,Indoor,2
17,TCH,F,Indoor,3
18,UKR,F,Indoor,1
19,ROU,F,Indoor,1
20,RUS,F,Indoor,9
21,RUS,F,Indoor,9
22,USA,F,Indoor,25
0,CAN,M,Indoor,2
1,USA,M,Indoor,25
2,NAM,M,Indoor,1
3,USA,M,Indoor,25
4,DEN,M,Indoor,1
5,DJI,M,Indoor,1
6,ETH,M,Indoor,12
7,ETH,M,Indoor,12
8,KEN,M,Indoor,18
9,ETH,M,Indoor,12
10,CAN,M,Indoor,2
11,USA,M,Indoor,25
12,CUB,M,Indoor,2
13,SWE,M,Indoor,4
14,USA,M,Indoor,25
15,BUR,M,Indoor,1
16,USA,M,Indoor,25
17,USA,M,Indoor,25
18,RUS,M,Indoor,9
19,GBR,M,Indoor,3
20,USA,M,Indoor,25
21,USA,M,Indoor,25
