LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,GDP,TOT,MLN_USD,A,1960,25073.26,
AUS,GDP,TOT,MLN_USD,A,1961,25364.881,
AUS,GDP,TOT,MLN_USD,A,1962,27955.357,
AUS,GDP,TOT,MLN_USD,A,1963,30432.979,
AUS,GDP,TOT,MLN_USD,A,1964,32745.289,
AUS,GDP,TOT,MLN_USD,A,1965,34542.337,
AUS,GDP,TOT,MLN_USD,A,1966,38344.554,
AUS,GDP,TOT,MLN_USD,A,1967,41068.684,
AUS,GDP,TOT,MLN_USD,A,1968,46560.927,
AUS,GDP,TOT,MLN_USD,A,1969,52215.402,
AUS,GDP,TOT,MLN_USD,A,1970,58839.142,
AUS,GDP,TOT,MLN_USD,A,1971,64114.685,
AUS,GDP,TOT,MLN_USD,A,1972,69784.722,
AUS,GDP,TOT,MLN_USD,A,1973,78817.485,
AUS,GDP,TOT,MLN_USD,A,1974,86294.943,
AUS,GDP,TOT,MLN_USD,A,1975,96825.939,
AUS,GDP,TOT,MLN_USD,A,1976,104254.904,
AUS,GDP,TOT,MLN_USD,A,1977,110240.113,
AUS,GDP,TOT,MLN_USD,A,1978,123301.963,
AUS,GDP,TOT,MLN_USD,A,1979,137936.02,
AUS,GDP,TOT,MLN_USD,A,1980,154986.821,
AUS,GDP,TOT,MLN_USD,A,1981,178234.203,
AUS,GDP,TOT,MLN_USD,A,1982,181872.587,
AUS,GDP,TOT,MLN_USD,A,1983,196469.337,
AUS,GDP,TOT,MLN_USD,A,1984,211703.778,
AUS,GDP,TOT,MLN_USD,A,1985,228849.495,
AUS,GDP,TOT,MLN_USD,A,1986,239937.581,
AUS,GDP,TOT,MLN_USD,A,1987,260850.61,
AUS,GDP,TOT,MLN_USD,A,1988,282826.156,
AUS,GDP,TOT,MLN_USD,A,1989,299521.721,
AUS,GDP,TOT,MLN_USD,A,1990,304084.341,
AUS,GDP,TOT,MLN_USD,A,1991,313866.919,
AUS,GDP,TOT,MLN_USD,A,1992,334363.038,
AUS,GDP,TOT,MLN_USD,A,1993,355438.947,
AUS,GDP,TOT,MLN_USD,A,1994,380863.735,
AUS,GDP,TOT,MLN_USD,A,1995,403272.517,
AUS,GDP,TOT,MLN_USD,A,1996,423917.691,
AUS,GDP,TOT,MLN_USD,A,1997,450146.392,
AUS,GDP,TOT,MLN_USD,A,1998,477523.679,
AUS,GDP,TOT,MLN_USD,A,1999,510213.964,
AUS,GDP,TOT,MLN_USD,A,2000,538619.383,
AUS,GDP,TOT,MLN_USD,A,2001,569472.261,
AUS,GDP,TOT,MLN_USD,A,2002,600460.974,
AUS,GDP,TOT,MLN_USD,A,2003,637698.306,
AUS,GDP,TOT,MLN_USD,A,2004,676662.202,
AUS,GDP,TOT,MLN_USD,A,2005,719149.954,
AUS,GDP,TOT,MLN_USD,A,2006,774702.195,
AUS,GDP,TOT,MLN_USD,A,2007,825575.898,
AUS,GDP,TOT,MLN_USD,A,2008,852201.51,
AUS,GDP,TOT,MLN_USD,A,2009,903822.934,
AUS,GDP,TOT,MLN_USD,A,2010,943525.18,
AUS,GDP,TOT,MLN_USD,A,2011,992556.359,
AUS,GDP,TOT,MLN_USD,A,2012,997622.794,
AUS,GDP,TOT,MLN_USD,A,2013,1104642.029,
AUS,GDP,TOT,MLN_USD,A,2014,1117534.426,
AUS,GDP,TOT,MLN_USD,A,2015,1124892.295,
AUS,GDP,TOT,MLN_USD,A,2016,1213189.412,
AUS,GDP,TOT,MLN_USD,A,2017,1247296.036,
AUS,GDP,TOT,MLN_USD,A,2018,1321782.233,
AUS,GDP,TOT,MLN_USD,A,2019,1343284.702,
AUS,GDP,TOT,MLN_USD,A,2020,1404466.051,
AUS,GDP,TOT,USD_CAP,A,1960,2412.764873,
AUS,GDP,TOT,USD_CAP,A,1961,2383.322879,
AUS,GDP,TOT,USD_CAP,A,1962,2577.466847,
AUS,GDP,TOT,USD_CAP,A,1963,2752.750121,
AUS,GDP,TOT,USD_CAP,A,1964,2902.84077,
AUS,GDP,TOT,USD_CAP,A,1965,3002.269627,
AUS,GDP,TOT,USD_CAP,A,1966,3275.956286,
AUS,GDP,TOT,USD_CAP,A,1967,3447.600076,
AUS,GDP,TOT,USD_CAP,A,1968,3833.569009,
AUS,GDP,TOT,USD_CAP,A,1969,4208.470157,
AUS,GDP,TOT,USD_CAP,A,1970,4646.368417,
AUS,GDP,TOT,USD_CAP,A,1971,4857.769309,
AUS,GDP,TOT,USD_CAP,A,1972,5204.207864,
AUS,GDP,TOT,USD_CAP,A,1973,5789.297339,
AUS,GDP,TOT,USD_CAP,A,1974,6238.799897,
AUS,GDP,TOT,USD_CAP,A,1975,6931.545862,
AUS,GDP,TOT,USD_CAP,A,1976,7388.668536,
AUS,GDP,TOT,USD_CAP,A,1977,7719.067178,
AUS,GDP,TOT,USD_CAP,A,1978,8544.343132,
AUS,GDP,TOT,USD_CAP,A,1979,9446.067438,
AUS,GDP,TOT,USD_CAP,A,1980,10466.87028,
AUS,GDP,TOT,USD_CAP,A,1981,11943.35053,
AUS,GDP,TOT,USD_CAP,A,1982,11977.75231,
AUS,GDP,TOT,USD_CAP,A,1983,12763.13622,
AUS,GDP,TOT,USD_CAP,A,1984,13588.69908,
AUS,GDP,TOT,USD_CAP,A,1985,14494.87878,
AUS,GDP,TOT,USD_CAP,A,1986,14978.87309,
AUS,GDP,TOT,USD_CAP,A,1987,16038.62606,
AUS,GDP,TOT,USD_CAP,A,1988,17107.59341,
AUS,GDP,TOT,USD_CAP,A,1989,17813.40523,
AUS,GDP,TOT,USD_CAP,A,1990,17819.07757,
AUS,GDP,TOT,USD_CAP,A,1991,18159.3913,
AUS,GDP,TOT,USD_CAP,A,1992,19129.85242,
AUS,GDP,TOT,USD_CAP,A,1993,20155.54171,
AUS,GDP,TOT,USD_CAP,A,1994,21390.22973,
AUS,GDP,TOT,USD_CAP,A,1995,22397.93152,
AUS,GDP,TOT,USD_CAP,A,1996,23260.48522,
AUS,GDP,TOT,USD_CAP,A,1997,24433.93542,
AUS,GDP,TOT,USD_CAP,A,1998,25662.83018,
AUS,GDP,TOT,USD_CAP,A,1999,27121.29636,
AUS,GDP,TOT,USD_CAP,A,2000,28305.4834,
AUS,GDP,TOT,USD_CAP,A,2001,29545.06484,
AUS,GDP,TOT,USD_CAP,A,2002,30800.45213,
AUS,GDP,TOT,USD_CAP,A,2003,32336.49445,
AUS,GDP,TOT,USD_CAP,A,2004,33947.34292,
AUS,GDP,TOT,USD_CAP,A,2005,35642.41871,
AUS,GDP,TOT,USD_CAP,A,2006,37880.89557,
AUS,GDP,TOT,USD_CAP,A,2007,39638.55163,
AUS,GDP,TOT,USD_CAP,A,2008,40105.1103,
AUS,GDP,TOT,USD_CAP,A,2009,41666.76351,
AUS,GDP,TOT,USD_CAP,A,2010,42825.60573,
AUS,GDP,TOT,USD_CAP,A,2011,44429.55951,
AUS,GDP,TOT,USD_CAP,A,2012,43883.37889,
AUS,GDP,TOT,USD_CAP,A,2013,47761.90126,
AUS,GDP,TOT,USD_CAP,A,2014,47603.88088,
AUS,GDP,TOT,USD_CAP,A,2015,47232.62912,
AUS,GDP,TOT,USD_CAP,A,2016,50150.6522,
AUS,GDP,TOT,USD_CAP,A,2017,50699.17511,
AUS,GDP,TOT,USD_CAP,A,2018,52907.90159,
AUS,GDP,TOT,USD_CAP,A,2019,52956.73691,
AUS,GDP,TOT,USD_CAP,A,2020,54654.22634,
