,Country name,Country,CPI score 2020,Year,GDP per capita
0,Australia,AUS,77,2020,54654.22634
1,Austria,AUT,76,2020,55651.106210000005
2,Belgium,BEL,76,2020,52781.88005
3,Bulgaria,BGR,44,2020,24626.05945
4,Canada,CAN,77,2020,48090.98651
5,Switzerland,CHE,85,2020,71705.4292
6,Chile,CHL,67,2020,24647.63046
7,Colombia,COL,39,2020,14999.32554
8,Costa Rica,CRI,57,2020,21043.5753
9,Cyprus,CYP,57,2020,39857.61993
10,Czechia,CZE,54,2020,42044.2384
11,Germany,DEU,80,2020,54315.54634
12,Denmark,DNK,88,2020,60566.22561
13,Spain,ESP,62,2020,38341.43441
14,Estonia,EST,75,2020,37984.473560000006
15,Finland,FIN,85,2020,50810.7308
16,France,FRA,69,2020,46421.73184
17,United Kingdom,GBR,77,2020,45944.46043
18,Greece,GRC,50,2020,28369.40387
19,Croatia,HRV,47,2020,29119.81523
20,Hungary,HUN,44,2020,33252.56356
21,Ireland,IRL,72,2020,95512.5861
22,Iceland,ISL,75,2020,55213.38366
23,Israel,ISR,60,2020,42402.74001
24,Italy,ITA,53,2020,41963.8664
25,Japan,JPN,74,2020,41775.23655
26,"Korea, South",KOR,61,2020,43318.886119999996
27,Lithuania,LTU,60,2020,39189.39085
28,Luxembourg,LUX,80,2020,118726.4969
29,Latvia,LVA,57,2020,32224.02599
30,Mexico,MEX,31,2020,19322.069219999998
31,Malta,MLT,53,2020,44200.3225
32,Netherlands,NLD,82,2020,59334.69685
33,Norway,NOR,84,2020,63293.19691
34,New Zealand,NZL,88,2020,44011.18022
35,Poland,POL,56,2020,34044.53493
36,Portugal,PRT,61,2020,34118.73755
37,Romania,ROU,44,2020,31875.149110000002
38,Russia,RUS,30,2020,28219.917960000002
39,Saudi Arabia,SAU,53,2020,46362.649489999996
40,Slovakia,SVK,49,2020,32004.152319999997
41,Slovenia,SVN,60,2020,40073.26378
42,Sweden,SWE,85,2020,54929.52462999999
43,Turkey,TUR,40,2020,28435.402189999997
44,United States of America,USA,67,2020,63285.232260000004
45,South Africa,ZAF,44,2020,12354.983629999999
