,Borough,Year,Value,pct_ch,log_value,logpct_ch,index,Frequency
0,Barking and Dagenham,2008,190000,2.7027027027026973,12.154779351142626,0.219887885700798,0,19652
1,Barnet,2008,280000,-5.0847457627118615,12.542544882151384,-0.414345925145998,1,26330
2,Bexley,2008,210000,-0.943396226415094,12.254862809699604,-0.0772870187370156,2,16388
3,Brent,2008,275000,-1.7857142857142905,12.524526376648707,-0.1436590873062693,3,26936
4,Bromley,2008,250000,-3.846153846153844,12.429216196844385,-0.3145599840332358,4,26463
5,Camden,2008,440000,7.317073170731714,12.994530005894447,0.5464101335335371,5,34109
6,Croydon,2008,226500,1.7977528089887729,12.330500223905224,0.1447113047022386,6,32496
7,Ealing,2008,270000,0.0,12.506177237980511,0.0,7,32898
8,Enfield,2008,234600,0.6866952789699621,12.365637215201511,0.055373386770352084,8,25139
9,Greenwich,2008,230000,2.6785714285714186,12.345834587905333,0.21456608448975345,9,29438
10,Hackney,2008,265000,0.3787878787878896,12.487485104968359,0.030285264086504782,10,30057
11,Hammersmith and Fulham,2008,435000,4.819277108433728,12.983101310070822,0.3638480819434076,11,22787
12,Haringey,2008,250000,-6.542056074766355,12.429216196844385,-0.5414045456265559,12,28160
13,Harrow,2008,275000,-1.7857142857142905,12.524526376648707,-0.1436590873062693,13,14836
14,Havering,2008,222500,0.0,12.31268238058843,0.0,14,18129
15,Hillingdon,2008,245000,0.0,12.409013489526865,0.0,15,25390
16,Hounslow,2008,249000,-0.3980079601592079,12.425208175446846,-0.032085913959689634,16,23962
17,Islington,2008,350000,0.8645533141210304,12.765688433465595,0.06747919192193752,17,29547
18,Kensington and Chelsea,2008,701000,9.531249999999991,13.460263166016727,0.6809648367761989,18,22556
19,Kingston upon Thames,2008,285000,-1.7241379310344862,12.560244459250786,-0.13827512922622853,19,11554
20,Lambeth,2008,275000,-1.7857142857142905,12.524526376648707,-0.1436590873062693,20,35704
21,Lewisham,2008,227000,0.8897856869838794,12.332705296463539,0.07188099912878165,21,31726
22,Merton,2008,261500,-0.7119126720455671,12.474189562487116,-0.057242186875838826,22,15210
23,Newham,2008,235000,2.1739130434782705,12.367340793126294,0.17419806711189703,23,34379
24,Redbridge,2008,250000,0.0,12.429216196844385,0.0,24,24303
25,Richmond upon Thames,2008,375000,-1.5748031496062964,12.834681304952548,-0.12352267729716092,25,11882
26,Southwark,2008,278000,0.7246376811594235,12.535376392672775,0.057632167815380164,26,40550
27,Sutton,2008,230000,-1.2875536480686731,12.345834587905333,-0.10485768209218538,27,13821
28,Tower Hamlets,2008,289998,-0.0006896551724144827,12.577629305387152,-5.48320478799269e-05,28,28538
29,Waltham Forest,2008,231000,-3.347280334728031,12.35017298950393,-0.2749131121999593,29,25827
30,Wandsworth,2008,350000,-1.4084507042253502,12.765688433465595,-0.11099198650857957,30,25705
31,Westminster,2008,495000,4.210526315789465,13.112313041550827,0.31552855483221176,31,63323
32,Barking and Dagenham,2009,160000,-15.789473684210535,11.982929094215965,-1.413849251903576,32,20140
33,Barnet,2009,290000,3.571428571428581,12.577636201962655,0.2797783076798677,33,26108
34,Bexley,2009,196000,-6.666666666666665,12.185869938212655,-0.5629836299133828,34,15778
35,Brent,2009,275000,0.0,12.524526376648707,0.0,35,28847
36,Bromley,2009,249000,-0.4000000000000004,12.425208175446846,-0.03224677513097296,36,24555
37,Camden,2009,417500,-5.113636363636365,12.942039823273046,-0.40394060114206104,37,33967
38,Croydon,2009,200000,-11.699779249448127,12.206072645530176,-1.0091040599782275,38,33124
