,0,1,Month,Actual year,index1,Date,All property types,City
0,January,2000,January,2000,0,Jan-00,"£130,411",london
1,February,2000,February,2000,1,Feb-00,"£132,705",london
2,March,2000,March,2000,2,Mar-00,"£134,286",london
3,April,2000,April,2000,3,Apr-00,"£140,670",london
4,May,2000,May,2000,4,May-00,"£140,862",london
5,June,2000,June,2000,5,Jun-00,"£143,542",london
6,July,2000,July,2000,6,Jul-00,"£146,228",london
7,August,2000,August,2000,7,Aug-00,"£147,284",london
8,September,2000,September,2000,8,Sep-00,"£147,316",london
9,October,2000,October,2000,9,Oct-00,"£145,626",london
10,November,2000,November,2000,10,Nov-00,"£147,666",london
11,December,2000,December,2000,11,Dec-00,"£147,483",london
12,January,2001,January,2001,12,Jan-01,"£149,543",london
13,February,2001,February,2001,13,Feb-01,"£149,776",london
14,March,2001,March,2001,14,Mar-01,"£150,941",london
15,April,2001,April,2001,15,Apr-01,"£152,865",london
16,May,2001,May,2001,16,May-01,"£157,156",london
17,June,2001,June,2001,17,Jun-01,"£158,760",london
18,July,2001,July,2001,18,Jul-01,"£161,122",london
19,August,2001,August,2001,19,Aug-01,"£164,628",london
20,September,2001,September,2001,20,Sep-01,"£164,820",london
21,October,2001,October,2001,21,Oct-01,"£166,189",london
22,November,2001,November,2001,22,Nov-01,"£167,214",london
23,December,2001,December,2001,23,Dec-01,"£167,693",london
24,January,2002,January,2002,24,Jan-02,"£169,841",london
25,February,2002,February,2002,25,Feb-02,"£170,502",london
26,March,2002,March,2002,26,Mar-02,"£172,749",london
27,April,2002,April,2002,27,Apr-02,"£178,218",london
28,May,2002,May,2002,28,May-02,"£182,805",london
29,June,2002,June,2002,29,Jun-02,"£186,038",london
30,July,2002,July,2002,30,Jul-02,"£191,162",london
31,August,2002,August,2002,31,Aug-02,"£195,333",london
32,September,2002,September,2002,32,Sep-02,"£197,045",london
33,October,2002,October,2002,33,Oct-02,"£199,092",london
34,November,2002,November,2002,34,Nov-02,"£202,527",london
35,December,2002,December,2002,35,Dec-02,"£203,437",london
36,January,2003,January,2003,36,Jan-03,"£207,162",london
37,February,2003,February,2003,37,Feb-03,"£206,464",london
38,March,2003,March,2003,38,Mar-03,"£205,573",london
39,April,2003,April,2003,39,Apr-03,"£207,953",london
40,May,2003,May,2003,40,May-03,"£210,583",london
41,June,2003,June,2003,41,Jun-03,"£208,941",london
42,July,2003,July,2003,42,Jul-03,"£213,806",london
43,August,2003,August,2003,43,Aug-03,"£212,692",london
44,September,2003,September,2003,44,Sep-03,"£212,901",london
45,October,2003,October,2003,45,Oct-03,"£214,608",london
46,November,2003,November,2003,46,Nov-03,"£215,556",london
47,December,2003,December,2003,47,Dec-03,"£216,971",london
48,January,2004,January,2004,48,Jan-04,"£218,855",london
49,February,2004,February,2004,49,Feb-04,"£219,804",london
50,March,2004,March,2004,50,Mar-04,"£221,324",london
51,April,2004,April,2004,51,Apr-04,"£225,863",london
52,May,2004,May,2004,52,May-04,"£227,330",london
53,June,2004,June,2004,53,Jun-04,"£230,156",london
54,July,2004,July,2004,54,Jul-04,"£233,877",london
55,August,2004,August,2004,55,Aug-04,"£234,836",london
56,September,2004,September,2004,56,Sep-04,"£234,134",london
57,October,2004,October,2004,57,Oct-04,"£232,287",london
58,November,2004,November,2004,58,Nov-04,"£234,718",london
59,December,2004,December,2004,59,Dec-04,"£230,185",london
60,January,2005,January,2005,60,Jan-05,"£232,422",london
61,February,2005,February,2005,61,Feb-05,"£231,321",london
62,March,2005,March,2005,62,Mar-05,"£231,263",london
63,April,2005,April,2005,63,Apr-05,"£235,367",london
64,May,2005,May,2005,64,May-05,"£235,685",london
65,June,2005,June,2005,65,Jun-05,"£235,899",london
66,July,2005,July,2005,66,Jul-05,"£237,872",london
67,August,2005,August,2005,67,Aug-05,"£237,971",london
68,September,2005,September,2005,68,Sep-05,"£236,916",london
69,October,2005,October,2005,69,Oct-05,"£234,298",london
70,November,2005,November,2005,70,Nov-05,"£236,561",london
71,December,2005,December,2005,71,Dec-05,"£238,377",london
72,January,2006,January,2006,72,Jan-06,"£239,846",london
73,February,2006,February,2006,73,Feb-06,"£239,115",london
74,March,2006,March,2006,74,Mar-06,"£241,380",london
75,April,2006,April,2006,75,Apr-06,"£245,474",london
76,May,2006,May,2006,76,May-06,"£247,591",london
77,June,2006,June,2006,77,Jun-06,"£251,417",london
78,July,2006,July,2006,78,Jul-06,"£253,883",london
79,August,2006,August,2006,79,Aug-06,"£256,704",london
80,September,2006,September,2006,80,Sep-06,"£257,541",london
81,October,2006,October,2006,81,Oct-06,"£259,115",london
82,November,2006,November,2006,82,Nov-06,"£258,814",london
83,December,2006,December,2006,83,Dec-06,"£264,494",london
84,January,2007,January,2007,84,Jan-07,"£267,658",london
85,February,2007,February,2007,85,Feb-07,"£270,780",london
86,March,2007,March,2007,86,Mar-07,"£273,479",london
87,April,2007,April,2007,87,Apr-07,"£278,805",london
88,May,2007,May,2007,88,May-07,"£282,726",london
89,June,2007,June,2007,89,Jun-07,"£285,958",london
90,July,2007,July,2007,90,Jul-07,"£295,694",london
91,August,2007,August,2007,91,Aug-07,"£297,653",london
92,September,2007,September,2007,92,Sep-07,"£298,414",london
93,October,2007,October,2007,93,Oct-07,"£298,559",london
94,November,2007,November,2007,94,Nov-07,"£297,648",london
95,December,2007,December,2007,95,Dec-07,"£297,994",london
96,January,2008,January,2008,96,Jan-08,"£298,596",london
97,February,2008,February,2008,97,Feb-08,"£295,700",london
98,March,2008,March,2008,98,Mar-08,"£293,605",london
99,April,2008,April,2008,99,Apr-08,"£294,346",london
100,May,2008,May,2008,100,May-08,"£295,163",london
101,June,2008,June,2008,101,Jun-08,"£290,100",london
102,July,2008,July,2008,102,Jul-08,"£290,261",london
103,August,2008,August,2008,103,Aug-08,"£281,721",london
104,September,2008,September,2008,104,Sep-08,"£276,487",london
105,October,2008,October,2008,105,Oct-08,"£266,999",london
106,November,2008,November,2008,106,Nov-08,"£258,647",london
107,December,2008,December,2008,107,Dec-08,"£253,881",london
108,January,2009,January,2009,108,Jan-09,"£253,093",london
109,February,2009,February,2009,109,Feb-09,"£249,847",london
110,March,2009,March,2009,110,Mar-09,"£247,264",london
111,April,2009,April,2009,111,Apr-09,"£245,351",london
