,index,Unnamed: 0,Area,Year_x,Value,id,Year_y,Borough,Frequency
0,0,2341,Barking and Dagenham,2008,190000,0,2008,Barking and Dagenham,19652
1,1,2342,Barnet,2008,280000,1,2008,Barnet,26330
2,2,2343,Bexley,2008,210000,2,2008,Bexley,16388
3,3,2344,Brent,2008,275000,3,2008,Brent,26936
4,4,2345,Bromley,2008,250000,4,2008,Bromley,26463
5,5,2346,Camden,2008,440000,5,2008,Camden,34109
6,6,2347,Croydon,2008,226500,6,2008,Croydon,32496
7,7,2348,Ealing,2008,270000,7,2008,Ealing,32898
8,8,2349,Enfield,2008,234600,8,2008,Enfield,25139
9,9,2350,Greenwich,2008,230000,9,2008,Greenwich,29438
10,10,2351,Hackney,2008,265000,10,2008,Hackney,30057
11,11,2352,Hammersmith and Fulham,2008,435000,11,2008,Hammersmith and Fulham,22787
12,12,2353,Haringey,2008,250000,12,2008,Haringey,28160
13,13,2354,Harrow,2008,275000,13,2008,Harrow,14836
14,14,2355,Havering,2008,222500,14,2008,Havering,18129
15,15,2356,Hillingdon,2008,245000,15,2008,Hillingdon,25390
16,16,2357,Hounslow,2008,249000,16,2008,Hounslow,23962
17,17,2358,Islington,2008,350000,17,2008,Islington,29547
18,18,2359,Kensington and Chelsea,2008,701000,18,2008,Kensington and Chelsea,22556
19,19,2360,Kingston upon Thames,2008,285000,19,2008,Kingston upon Thames,11554
20,20,2361,Lambeth,2008,275000,20,2008,Lambeth,35704
21,21,2362,Lewisham,2008,227000,21,2008,Lewisham,31726
22,22,2363,Merton,2008,261500,22,2008,Merton,15210
23,23,2364,Newham,2008,235000,23,2008,Newham,34379
24,24,2365,Redbridge,2008,250000,24,2008,Redbridge,24303
25,25,2366,Richmond upon Thames,2008,375000,25,2008,Richmond upon Thames,11882
26,26,2367,Southwark,2008,278000,26,2008,Southwark,40550
27,27,2368,Sutton,2008,230000,27,2008,Sutton,13821
28,28,2369,Tower Hamlets,2008,289998,28,2008,Tower Hamlets,28538
29,29,2370,Waltham Forest,2008,231000,29,2008,Waltham Forest,25827
30,30,2371,Wandsworth,2008,350000,30,2008,Wandsworth,25705
31,31,2372,Westminster,2008,495000,31,2008,Westminster,63323
32,32,2521,Barking and Dagenham,2009,160000,0,2009,Barking and Dagenham,20140
33,33,2522,Barnet,2009,290000,1,2009,Barnet,26108
34,34,2523,Bexley,2009,196000,2,2009,Bexley,15778
35,35,2524,Brent,2009,275000,3,2009,Brent,28847
36,36,2525,Bromley,2009,249000,4,2009,Bromley,24555
37,37,2526,Camden,2009,417500,5,2009,Camden,33967
38,38,2527,Croydon,2009,200000,6,2009,Croydon,33124
39,39,2528,Ealing,2009,257750,7,2009,Ealing,33210
40,40,2529,Enfield,2009,225000,8,2009,Enfield,24180
41,41,2530,Greenwich,2009,220000,9,2009,Greenwich,26339
42,42,2531,Hackney,2009,275000,10,2009,Hackney,28961
43,43,2532,Hammersmith and Fulham,2009,420000,11,2009,Hammersmith and Fulham,23179
44,44,2533,Haringey,2009,250000,12,2009,Haringey,26272
45,45,2534,Harrow,2009,250000,13,2009,Harrow,15286
46,46,2535,Havering,2009,200000,14,2009,Havering,17142
47,47,2536,Hillingdon,2009,230000,15,2009,Hillingdon,24924
48,48,2537,Hounslow,2009,240000,16,2009,Hounslow,23504
49,49,2538,Islington,2009,345000,17,2009,Islington,28858
50,50,2539,Kensington and Chelsea,2009,680000,18,2009,Kensington and Chelsea,20837
51,51,2540,Kingston upon Thames,2009,270000,19,2009,Kingston upon Thames,11130
52,52,2541,Lambeth,2009,275000,20,2009,Lambeth,35084
53,53,2542,Lewisham,2009,215000,21,2009,Lewisham,29825
54,54,2543,Merton,2009,250000,22,2009,Merton,14786
55,55,2544,Newham,2009,200000,23,2009,Newham,33373
