,Date,All property types,City,index1,Month,Year,Yearly GDP
0,January 2000,130411,London,0,January,2000,1632591
0,February 2000,132705,London,1,February,2000,1632591
0,March 2000,134286,London,2,March,2000,1632591
0,April 2000,140670,London,3,April,2000,1632591
0,May 2000,140862,London,4,May,2000,1632591
0,June 2000,143542,London,5,June,2000,1632591
0,July 2000,146228,London,6,July,2000,1632591
0,August 2000,147284,London,7,August,2000,1632591
0,September 2000,147316,London,8,September,2000,1632591
0,October 2000,145626,London,9,October,2000,1632591
0,November 2000,147666,London,10,November,2000,1632591
0,December 2000,147483,London,11,December,2000,1632591
0,January 2000,39743,Manchester,262,January,2000,1632591
0,February 2000,40396,Manchester,263,February,2000,1632591
0,March 2000,40113,Manchester,264,March,2000,1632591
0,April 2000,40894,Manchester,265,April,2000,1632591
0,May 2000,41625,Manchester,266,May,2000,1632591
0,June 2000,42870,Manchester,267,June,2000,1632591
0,July 2000,43582,Manchester,268,July,2000,1632591
0,August 2000,44263,Manchester,269,August,2000,1632591
0,September 2000,44861,Manchester,270,September,2000,1632591
0,October 2000,44671,Manchester,271,October,2000,1632591
0,November 2000,43849,Manchester,272,November,2000,1632591
0,December 2000,44201,Manchester,273,December,2000,1632591
0,January 2000,57695,Birmingham,524,January,2000,1632591
0,February 2000,57603,Birmingham,525,February,2000,1632591
0,March 2000,57118,Birmingham,526,March,2000,1632591
0,April 2000,57982,Birmingham,527,April,2000,1632591
0,May 2000,59365,Birmingham,528,May,2000,1632591
0,June 2000,60332,Birmingham,529,June,2000,1632591
0,July 2000,61053,Birmingham,530,July,2000,1632591
0,August 2000,61409,Birmingham,531,August,2000,1632591
0,September 2000,62243,Birmingham,532,September,2000,1632591
0,October 2000,62525,Birmingham,533,October,2000,1632591
0,November 2000,62855,Birmingham,534,November,2000,1632591
0,December 2000,63549,Birmingham,535,December,2000,1632591
0,January 2000,55303,Leeds,786,January,2000,1632591
0,February 2000,55152,Leeds,787,February,2000,1632591
0,March 2000,55638,Leeds,788,March,2000,1632591
0,April 2000,56841,Leeds,789,April,2000,1632591
0,May 2000,58600,Leeds,790,May,2000,1632591
0,June 2000,60339,Leeds,791,June,2000,1632591
0,July 2000,61612,Leeds,792,July,2000,1632591
0,August 2000,62425,Leeds,793,August,2000,1632591
0,September 2000,62840,Leeds,794,September,2000,1632591
0,October 2000,62738,Leeds,795,October,2000,1632591
0,November 2000,62534,Leeds,796,November,2000,1632591
0,December 2000,62655,Leeds,797,December,2000,1632591
0,January 2000,70086,Southampton,1262,January,2000,1632591
0,February 2000,71160,Southampton,1263,February,2000,1632591
0,March 2000,70937,Southampton,1264,March,2000,1632591
0,April 2000,73579,Southampton,1265,April,2000,1632591
0,May 2000,74232,Southampton,1266,May,2000,1632591
0,June 2000,77095,Southampton,1267,June,2000,1632591
0,July 2000,78314,Southampton,1268,July,2000,1632591
0,August 2000,80853,Southampton,1269,August,2000,1632591
0,September 2000,82389,Southampton,1270,September,2000,1632591
0,October 2000,81258,Southampton,1271,October,2000,1632591
0,November 2000,80078,Southampton,1272,November,2000,1632591
0,December 2000,80539,Southampton,1273,December,2000,1632591
0,January 2000,42294,Liverpool,1524,January,2000,1632591
0,February 2000,41810,Liverpool,1525,February,2000,1632591
0,March 2000,42291,Liverpool,1526,March,2000,1632591
0,April 2000,42990,Liverpool,1527,April,2000,1632591
0,May 2000,43822,Liverpool,1528,May,2000,1632591
0,June 2000,44179,Liverpool,1529,June,2000,1632591
0,July 2000,43967,Liverpool,1530,July,2000,1632591
0,August 2000,43967,Liverpool,1531,August,2000,1632591
0,September 2000,44159,Liverpool,1532,September,2000,1632591
0,October 2000,45115,Liverpool,1533,October,2000,1632591
0,November 2000,46070,Liverpool,1534,November,2000,1632591
0,December 2000,47290,Liverpool,1535,December,2000,1632591
0,January 2000,57270,Newcastle upon Tyne,1786,January,2000,1632591
0,February 2000,57860,Newcastle upon Tyne,1787,February,2000,1632591
0,March 2000,57952,Newcastle upon Tyne,1788,March,2000,1632591
0,April 2000,58412,Newcastle upon Tyne,1789,April,2000,1632591
0,May 2000,58763,Newcastle upon Tyne,1790,May,2000,1632591
0,June 2000,59297,Newcastle upon Tyne,1791,June,2000,1632591
0,July 2000,60437,Newcastle upon Tyne,1792,July,2000,1632591
0,August 2000,60885,Newcastle upon Tyne,1793,August,2000,1632591
0,September 2000,60766,Newcastle upon Tyne,1794,September,2000,1632591
0,October 2000,60070,Newcastle upon Tyne,1795,October,2000,1632591
0,November 2000,59625,Newcastle upon Tyne,1796,November,2000,1632591
0,December 2000,60479,Newcastle upon Tyne,1797,December,2000,1632591
0,January 2000,49850,Sheffield,2048,January,2000,1632591
0,February 2000,49803,Sheffield,2049,February,2000,1632591
0,March 2000,49398,Sheffield,2050,March,2000,1632591
0,April 2000,49837,Sheffield,2051,April,2000,1632591
0,May 2000,50781,Sheffield,2052,May,2000,1632591
0,June 2000,52434,Sheffield,2053,June,2000,1632591
0,July 2000,53383,Sheffield,2054,July,2000,1632591
0,August 2000,53932,Sheffield,2055,August,2000,1632591
0,September 2000,54045,Sheffield,2056,September,2000,1632591
0,October 2000,53576,Sheffield,2057,October,2000,1632591
0,November 2000,53042,Sheffield,2058,November,2000,1632591
0,December 2000,52622,Sheffield,2059,December,2000,1632591
0,January 2000,97612,Brighton and Hove,2512,January,2000,1632591
0,February 2000,98682,Brighton and Hove,2513,February,2000,1632591
0,March 2000,100225,Brighton and Hove,2514,March,2000,1632591
0,April 2000,101094,Brighton and Hove,2515,April,2000,1632591
0,May 2000,103949,Brighton and Hove,2516,May,2000,1632591
0,June 2000,107588,Brighton and Hove,2517,June,2000,1632591
0,July 2000,110775,Brighton and Hove,2518,July,2000,1632591
0,August 2000,113444,Brighton and Hove,2519,August,2000,1632591
0,September 2000,114728,Brighton and Hove,2520,September,2000,1632591
0,October 2000,113488,Brighton and Hove,2521,October,2000,1632591
0,November 2000,111506,Brighton and Hove,2522,November,2000,1632591
0,December 2000,111257,Brighton and Hove,2523,December,2000,1632591
0,January 2000,45432,Leicester,2774,January,2000,1632591
0,February 2000,45583,Leicester,2775,February,2000,1632591
0,March 2000,45602,Leicester,2776,March,2000,1632591
0,April 2000,46443,Leicester,2777,April,2000,1632591
0,May 2000,46900,Leicester,2778,May,2000,1632591
0,June 2000,48093,Leicester,2779,June,2000,1632591
0,July 2000,48422,Leicester,2780,July,2000,1632591
0,August 2000,49728,Leicester,2781,August,2000,1632591
0,September 2000,49546,Leicester,2782,September,2000,1632591
0,October 2000,49826,Leicester,2783,October,2000,1632591
0,November 2000,49147,Leicester,2784,November,2000,1632591
0,December 2000,49221,Leicester,2785,December,2000,1632591
0,January 2000,91439,"Bournemouth,, Christchurch and Poole",3250,January,2000,1632591
0,February 2000,93174,"Bournemouth,, Christchurch and Poole",3251,February,2000,1632591
0,March 2000,93817,"Bournemouth,, Christchurch and Poole",3252,March,2000,1632591
0,April 2000,96235,"Bournemouth,, Christchurch and Poole",3253,April,2000,1632591
0,May 2000,97364,"Bournemouth,, Christchurch and Poole",3254,May,2000,1632591
