,Borough,Major Category,201801,201802,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812
0,Barking and Dagenham,Burglary,143,134,122,75,93,77,94,84,99,94,106,163
1,Barking and Dagenham,Burglary,67,48,61,65,39,52,40,36,50,61,60,50
2,Barking and Dagenham,Criminal Damage,34,23,30,29,32,29,21,29,23,35,21,15
3,Barking and Dagenham,Criminal Damage,60,51,53,64,64,67,69,42,38,42,47,33
4,Barking and Dagenham,Criminal Damage,10,5,6,9,8,8,7,7,11,5,4,7
5,Barking and Dagenham,Criminal Damage,38,42,39,31,35,37,47,32,45,63,42,39
6,Barking and Dagenham,Drugs,3,5,6,1,5,6,7,7,9,5,6,2
7,Barking and Dagenham,Drugs,1,0,0,0,0,0,0,0,0,0,0,0
8,Barking and Dagenham,Drugs,63,76,76,72,75,67,75,70,72,64,73,66
9,Barking and Dagenham,Fraud or Forgery,0,0,0,0,0,0,0,0,0,0,0,0
10,Barking and Dagenham,Fraud or Forgery,2,2,6,3,2,2,0,0,2,1,2,1
11,Barking and Dagenham,Other Notifiable Offences,0,1,1,0,0,0,1,1,0,0,0,0
12,Barking and Dagenham,Other Notifiable Offences,28,26,37,34,39,36,38,27,25,20,31,33
13,Barking and Dagenham,Robbery,6,4,7,9,3,6,3,0,7,4,3,5
14,Barking and Dagenham,Robbery,64,69,71,41,41,77,78,57,61,74,79,56
15,Barking and Dagenham,Sexual Offences,17,16,30,28,26,35,28,14,30,27,22,26
16,Barking and Dagenham,Sexual Offences,23,10,16,18,26,15,16,25,17,17,12,16
17,Barking and Dagenham,Theft and Handling,2,5,1,1,3,2,1,1,1,1,6,0
18,Barking and Dagenham,Theft and Handling,0,0,0,0,0,0,0,0,0,0,0,0
19,Barking and Dagenham,Theft and Handling,142,128,147,130,140,144,172,170,143,163,168,148
20,Barking and Dagenham,Theft and Handling,27,35,27,29,29,44,50,34,24,43,67,49
21,Barking and Dagenham,Theft and Handling,99,101,97,89,101,87,63,91,82,103,84,88
22,Barking and Dagenham,Theft and Handling,74,59,84,69,68,65,64,68,52,56,66,65
23,Barking and Dagenham,Theft and Handling,111,96,101,102,99,125,84,100,111,127,121,91
24,Barking and Dagenham,Theft and Handling,7,9,16,18,14,25,24,28,22,17,11,12
