,id,Year,Borough,Frequency
0,0,2008,Barking and Dagenham,19652
1,1,2008,Barnet,26330
2,2,2008,Bexley,16388
3,3,2008,Brent,26936
4,4,2008,Bromley,26463
5,5,2008,Camden,34109
6,6,2008,Croydon,32496
7,7,2008,Ealing,32898
8,8,2008,Enfield,25139
9,9,2008,Greenwich,29438
10,10,2008,Hackney,30057
11,11,2008,Hammersmith and Fulham,22787
12,12,2008,Haringey,28160
13,13,2008,Harrow,14836
14,14,2008,Havering,18129
15,15,2008,Hillingdon,25390
16,16,2008,Hounslow,23962
17,17,2008,Islington,29547
18,18,2008,Kensington and Chelsea,22556
19,19,2008,Kingston upon Thames,11554
20,20,2008,Lambeth,35704
21,21,2008,Lewisham,31726
22,22,2008,Merton,15210
23,23,2008,Newham,34379
24,24,2008,Redbridge,24303
25,25,2008,Richmond upon Thames,11882
26,26,2008,Southwark,40550
27,27,2008,Sutton,13821
28,28,2008,Tower Hamlets,28538
29,29,2008,Waltham Forest,25827
30,30,2008,Wandsworth,25705
31,31,2008,Westminster,63323
32,32,2008,London,19652
33,33,2008,London,26330
34,34,2008,London,16388
35,35,2008,London,26936
36,36,2008,London,26463
37,37,2008,London,34109
38,38,2008,London,32496
39,39,2008,London,32898
40,40,2008,London,25139
41,41,2008,London,29438
42,42,2008,London,30057
43,43,2008,London,22787
44,44,2008,London,28160
45,45,2008,London,14836
46,46,2008,London,18129
47,47,2008,London,25390
48,48,2008,London,23962
49,49,2008,London,29547
50,50,2008,London,22556
51,51,2008,London,11554
52,52,2008,London,35704
53,53,2008,London,31726
54,54,2008,London,15210
55,55,2008,London,34379
56,56,2008,London,24303
57,57,2008,London,11882
58,58,2008,London,40550
59,59,2008,London,13821
60,60,2008,London,28538
61,61,2008,London,25827
62,62,2008,London,25705
63,63,2008,London,63323
64,0,2009,Barking and Dagenham,20140
65,1,2009,Barnet,26108
66,2,2009,Bexley,15778
67,3,2009,Brent,28847
68,4,2009,Bromley,24555
69,5,2009,Camden,33967
70,6,2009,Croydon,33124
71,7,2009,Ealing,33210
72,8,2009,Enfield,24180
73,9,2009,Greenwich,26339
74,10,2009,Hackney,28961
75,11,2009,Hammersmith and Fulham,23179
76,12,2009,Haringey,26272
77,13,2009,Harrow,15286
78,14,2009,Havering,17142
79,15,2009,Hillingdon,24924
80,16,2009,Hounslow,23504
81,17,2009,Islington,28858
82,18,2009,Kensington and Chelsea,20837
83,19,2009,Kingston upon Thames,11130
84,20,2009,Lambeth,35084
85,21,2009,Lewisham,29825
86,22,2009,Merton,14786
87,23,2009,Newham,33373
88,24,2009,Redbridge,24057
89,25,2009,Richmond upon Thames,11695
90,26,2009,Southwark,36766
91,27,2009,Sutton,13137
92,28,2009,Tower Hamlets,27147
93,29,2009,Waltham Forest,27492
94,30,2009,Wandsworth,25660
95,31,2009,Westminster,63856
96,32,2009,London,20140
97,33,2009,London,26108
98,34,2009,London,15778
99,35,2009,London,28847
100,36,2009,London,24555
101,37,2009,London,33967
102,38,2009,London,33124
103,39,2009,London,33210
104,40,2009,London,24180
105,41,2009,London,26339
106,42,2009,London,28961
107,43,2009,London,23179
108,44,2009,London,26272
109,45,2009,London,15286
110,46,2009,London,17142
111,47,2009,London,24924
112,48,2009,London,23504
113,49,2009,London,28858
114,50,2009,London,20837
115,51,2009,London,11130
116,52,2009,London,35084
117,53,2009,London,29825
118,54,2009,London,14786
119,55,2009,London,33373
120,56,2009,London,24057
121,57,2009,London,11695
122,58,2009,London,36766
123,59,2009,London,13137
124,60,2009,London,27147
125,61,2009,London,27492
126,62,2009,London,25660
127,63,2009,London,63856
128,0,2010,Barking and Dagenham,19574
129,1,2010,Barnet,25691
130,2,2010,Bexley,14239
131,3,2010,Brent,29349
132,4,2010,Bromley,22033
133,5,2010,Camden,33729
134,6,2010,Croydon,32535
135,7,2010,Ealing,35531
136,8,2010,Enfield,23833
137,9,2010,Greenwich,24683
138,10,2010,Hackney,28091
139,11,2010,Hammersmith and Fulham,23744
140,12,2010,Haringey,24582
141,13,2010,Harrow,15326
142,14,2010,Havering,17495
143,15,2010,Hillingdon,23641
144,16,2010,Hounslow,23551
145,17,2010,Islington,27941
146,18,2010,Kensington and Chelsea,21123
147,19,2010,Kingston upon Thames,11107
148,20,2010,Lambeth,35461
149,21,2010,Lewisham,28988
150,22,2010,Merton,14593
151,23,2010,Newham,35287
152,24,2010,Redbridge,24020
153,25,2010,Richmond upon Thames,11717
154,26,2010,Southwark,36952
155,27,2010,Sutton,12723
156,28,2010,Tower Hamlets,28056
157,29,2010,Waltham Forest,27410
158,30,2010,Wandsworth,25269
159,31,2010,Westminster,63526
160,32,2010,London,19574
161,33,2010,London,25691
162,34,2010,London,14239
163,35,2010,London,29349
164,36,2010,London,22033
165,37,2010,London,33729
166,38,2010,London,32535
167,39,2010,London,35531
168,40,2010,London,23833
169,41,2010,London,24683
170,42,2010,London,28091
171,43,2010,London,23744
172,44,2010,London,24582
173,45,2010,London,15326
174,46,2010,London,17495
175,47,2010,London,23641
176,48,2010,London,23551
177,49,2010,London,27941
178,50,2010,London,21123
179,51,2010,London,11107
180,52,2010,London,35461
181,53,2010,London,28988
182,54,2010,London,14593
183,55,2010,London,35287
184,56,2010,London,24020
185,57,2010,London,11717
186,58,2010,London,36952
187,59,2010,London,12723
188,60,2010,London,28056
189,61,2010,London,27410
190,62,2010,London,25269
191,63,2010,London,63526
192,0,2011,Barking and Dagenham,18730
193,1,2011,Barnet,26393
194,2,2011,Bexley,12325
195,3,2011,Brent,31206
196,4,2011,Bromley,22140
197,5,2011,Camden,36221
198,6,2011,Croydon,32372
199,7,2011,Ealing,32879
200,8,2011,Enfield,23589
201,9,2011,Greenwich,22845
202,10,2011,Hackney,27666
203,11,2011,Hammersmith and Fulham,23675
204,12,2011,Haringey,25357
205,13,2011,Harrow,14023
206,14,2011,Havering,17454
207,15,2011,Hillingdon,24055
208,16,2011,Hounslow,24197
209,17,2011,Islington,27524
210,18,2011,Kensington and Chelsea,20569
211,19,2011,Kingston upon Thames,11089
212,20,2011,Lambeth,36895
213,21,2011,Lewisham,27916
214,22,2011,Merton,14461
215,23,2011,Newham,31910
216,24,2011,Redbridge,24883
217,25,2011,Richmond upon Thames,11984
218,26,2011,Southwark,34850
219,27,2011,Sutton,11867
220,28,2011,Tower Hamlets,29411
221,29,2011,Waltham Forest,25756
222,30,2011,Wandsworth,23311
223,31,2011,Westminster,66350
224,32,2011,London,18730
225,33,2011,London,26393
226,34,2011,London,12325
227,35,2011,London,31206
228,36,2011,London,22140
229,37,2011,London,36221
230,38,2011,London,32372
231,39,2011,London,32879
232,40,2011,London,23589
233,41,2011,London,22845
234,42,2011,London,27666
235,43,2011,London,23675
236,44,2011,London,25357
237,45,2011,London,14023
238,46,2011,London,17454
239,47,2011,London,24055
240,48,2011,London,24197
241,49,2011,London,27524
242,50,2011,London,20569
243,51,2011,London,11089
244,52,2011,London,36895
245,53,2011,London,27916
246,54,2011,London,14461
247,55,2011,London,31910
248,56,2011,London,24883
249,57,2011,London,11984
250,58,2011,London,34850
251,59,2011,London,11867
252,60,2011,London,29411
253,61,2011,London,25756
254,62,2011,London,23311
255,63,2011,London,66350
256,0,2012,Barking and Dagenham,17364
257,1,2012,Barnet,25662
258,2,2012,Bexley,12365
259,3,2012,Brent,28611
260,4,2012,Bromley,20655
261,5,2012,Camden,33672
262,6,2012,Croydon,32416
263,7,2012,Ealing,30978
264,8,2012,Enfield,22664
265,9,2012,Greenwich,21479
266,10,2012,Hackney,28571
267,11,2012,Hammersmith and Fulham,22549
268,12,2012,Haringey,24787
269,13,2012,Harrow,13818
270,14,2012,Havering,16832
271,15,2012,Hillingdon,21574
272,16,2012,Hounslow,23804
273,17,2012,Islington,28017
274,18,2012,Kensington and Chelsea,21358
275,19,2012,Kingston upon Thames,10584
276,20,2012,Lambeth,35919
277,21,2012,Lewisham,25324
278,22,2012,Merton,13686
279,23,2012,Newham,32739
280,24,2012,Redbridge,22915
281,25,2012,Richmond upon Thames,11923
282,26,2012,Southwark,32759
283,27,2012,Sutton,11475
284,28,2012,Tower Hamlets,29613
285,29,2012,Waltham Forest,24434
286,30,2012,Wandsworth,26144
287,31,2012,Westminster,63636
288,32,2012,London,17364
289,33,2012,London,25662
290,34,2012,London,12365
291,35,2012,London,28611
292,36,2012,London,20655
293,37,2012,London,33672
294,38,2012,London,32416
295,39,2012,London,30978
296,40,2012,London,22664
297,41,2012,London,21479
298,42,2012,London,28571
