,Area,Year,Value,pct_ch,log_value,logpct_ch
2161,Barking and Dagenham,2007,185000,,12.128111104060462,
2341,Barking and Dagenham,2008,190000,2.7027027027026973,12.154779351142624,0.21988788570079798
2521,Barking and Dagenham,2009,160000,-15.789473684210531,11.982929094215963,-1.4138492519035761
2701,Barking and Dagenham,2010,170000,6.25,12.043553716032399,0.5059248981594822
2881,Barking and Dagenham,2011,170000,0.0,12.043553716032399,0.0
3061,Barking and Dagenham,2012,174000,2.35294117647058,12.066810578196666,0.19310630992002142
3241,Barking and Dagenham,2013,180995,4.020114942528741,12.106224685557013,0.3266323533043902
3421,Barking and Dagenham,2014,215000,18.787811818006016,12.2783933071098,1.4221495637544823
3601,Barking and Dagenham,2015,245500,14.186046511627914,12.411052226216713,1.0804257184862776
3781,Barking and Dagenham,2016,290000,18.126272912423637,12.577636201962656,1.342222824540662
3961,Barking and Dagenham,2017,300000,3.4482758620689724,12.611537753638338,0.26953833877298994
2162,Barnet,2007,295000,,12.594730635321957,
2342,Barnet,2008,280000,-5.0847457627118615,12.542544882151386,-0.414345925145998
2522,Barnet,2009,290000,3.571428571428581,12.577636201962656,0.27977830767986767
2702,Barnet,2010,325000,12.06896551724137,12.691580461311874,0.905927453454547
2882,Barnet,2011,325000,0.0,12.691580461311874,0.0
3062,Barnet,2012,330000,1.538461538461533,12.706847933442663,0.12029606696604134
3242,Barnet,2013,345000,4.545454545454541,12.751299696013497,0.34982525016171717
3422,Barnet,2014,400000,15.94202898550725,12.89921982609012,1.1600396320609274
3602,Barnet,2015,450000,12.5,13.017002861746503,0.9131020111631472
3782,Barnet,2016,476500,5.888888888888899,13.074223002076394,0.439579993471817
3962,Barnet,2017,533500,11.96222455403988,13.187214349723945,0.8642299250181562
2163,Bexley,2007,212000,,12.26434155365415,
2343,Bexley,2008,210000,-0.9433962264150941,12.254862809699606,-0.0772870187370156
2523,Bexley,2009,196000,-6.666666666666665,12.185869938212655,-0.5629836299133828
2703,Bexley,2010,215000,9.693877551020403,12.2783933071098,0.7592676548024535
2883,Bexley,2011,215000,0.0,12.2783933071098,0.0
3063,Bexley,2012,210000,-2.3255813953488413,12.254862809699606,-0.19164150244779243
3243,Bexley,2013,225000,7.14285714285714,12.323855681186558,0.5629836299133828
3423,Bexley,2014,250000,11.111111111111116,12.429216196844383,0.85493143041806
3603,Bexley,2015,285000,13.99999999999999,12.560244459250788,1.0541956977115907
3783,Bexley,2016,328000,15.087719298245617,12.70076888736628,1.1188032889916766
3963,Bexley,2017,342500,4.4207317073170715,12.744026936684417,0.34059394121537245
2164,Brent,2007,280000,,12.542544882151386,
2344,Brent,2008,275000,-1.7857142857142905,12.524526376648708,-0.1436590873062693
2524,Brent,2009,275000,0.0,12.524526376648708,0.0
2704,Brent,2010,283000,2.9090909090909056,12.553202176625375,0.22895716064865734
2884,Brent,2011,300000,6.0070671378091856,12.611537753638338,0.4647067432848928
3064,Brent,2012,322500,7.499999999999996,12.683858415217964,0.5734484009197294
3244,Brent,2013,347500,7.751937984496116,12.758519943986984,0.5886342020299029
3424,Brent,2014,385000,10.79136690647482,12.86099861326992,0.8032175341093017
3604,Brent,2015,415000,7.792207792207795,12.936033799212835,0.5834320350947886
3784,Brent,2016,445000,7.2289156626506035,13.005829561148378,0.5395452966409975
3964,Brent,2017,499950,12.348314606741573,13.122263372403996,0.8952432500225482
2165,Bromley,2007,260000,,12.468436909997665,
2345,Bromley,2008,250000,-3.8461538461538436,12.429216196844383,-0.3145599840332358
2525,Bromley,2009,249000,-0.40000000000000036,12.425208175446844,-0.03224677513097296
2705,Bromley,2010,275000,10.441767068273089,12.524526376648708,0.7993282671764357
2885,Bromley,2011,275000,0.0,12.524526376648708,0.0
3065,Bromley,2012,277500,0.9090909090909038,12.533576212168626,0.07225690814776087
3245,Bromley,2013,295000,6.3063063063063085,12.594730635321957,0.48792477197336925
3425,Bromley,2014,335000,13.559322033898313,12.721885810807203,1.0095902736390272
3605,Bromley,2015,375000,11.940298507462677,12.834681304952548,0.8866255822664648
3785,Bromley,2016,420000,12.00000000000001,12.948009990259552,0.8829879185490386
3965,Bromley,2017,440000,4.761904761904767,12.994530005894443,0.3592831305342381
2166,Camden,2007,410000,,12.92391243868049,
2346,Camden,2008,440000,7.317073170731714,12.994530005894443,0.546410133533537
2526,Camden,2009,417500,-5.113636363636365,12.942039823273047,-0.403940601142061
2706,Camden,2010,478500,14.61077844311378,13.078411489875146,1.0537107632513143
2886,Camden,2011,483500,1.0449320794148287,13.088806593875486,0.07948292503556775
3066,Camden,2012,500000,3.412616339193386,13.122363377404328,0.25637771700701695
3246,Camden,2013,585000,16.999999999999993,13.279367126213993,1.1964593899298048
3426,Camden,2014,675000,15.384615384615374,13.422467969854667,1.0776179488116489
3606,Camden,2015,705000,4.444444444444451,13.465953081794405,0.32397255137728287
3786,Camden,2016,735000,4.255319148936176,13.507625778194974,0.30946711419119755
3966,Camden,2017,760000,3.401360544217691,13.541073712262515,0.24762259938777564
2160,City of London,2007,416250,,12.939041320276791,
2340,City of London,2008,365000,-12.312312312312311,12.80765263256463,-1.0154437601668564
2520,City of London,2009,400000,9.589041095890405,12.89921982609012,0.7149412632621921
2700,City of London,2010,450000,12.5,13.017002861746503,0.9131020111631472
2880,City of London,2011,465000,3.3333333333333437,13.049792684569493,0.25189994326075826
3060,City of London,2012,485000,4.3010752688172005,13.091904169919621,0.32269850079627016
3240,City of London,2013,615000,26.8041237113402,13.329377546788654,1.813894860418097
3420,City of London,2014,769100,25.056910569105682,13.552976279045145,1.6774881758102822
3600,City of London,2015,800000,4.017683006111028,13.592367006650065,0.2906426366718007
3780,City of London,2016,831400,3.9250000000000007,13.630866305800675,0.2832420514526479
3960,City of London,2017,835000,0.43300457060380104,13.635187003832993,0.0316978975172022
2167,Croydon,2007,222500,,12.312682380588432,
2347,Croydon,2008,226500,1.7977528089887729,12.330500223905226,0.14471130470223859
2527,Croydon,2009,200000,-11.699779249448127,12.206072645530174,-1.0091040599782275
2707,Croydon,2010,220000,10.000000000000009,12.301382825334498,0.780842311627783
2887,Croydon,2011,220000,0.0,12.301382825334498,0.0
3067,Croydon,2012,230000,4.545454545454541,12.345834587905333,0.361355818301079
3247,Croydon,2013,239950,4.326086956521746,12.388185847286392,0.34304087811567463
3427,Croydon,2014,265000,10.439674932277555,12.487485104968359,0.8015641588370093
3607,Croydon,2015,306000,15.471698113207545,12.631340380934517,1.1519955760261436
3787,Croydon,2016,338000,10.457516339869288,12.730801174465157,0.787412820263822
3967,Croydon,2017,365000,7.98816568047338,12.80765263256463,0.603665527772268
2168,Ealing,2007,270000,,12.506177237980511,
2348,Ealing,2008,270000,0.0,12.506177237980511,0.0
2528,Ealing,2009,257750,-4.53703703703704,12.459745401879207,-0.3712712143587149
2708,Ealing,2010,279275,8.351115421920463,12.53995223843905,0.6437277325726409
2888,Ealing,2011,293000,4.914510786858828,12.587927887999204,0.38258239463697663
3068,Ealing,2012,310000,5.802047781569963,12.644327576461329,0.4480458496739059
3248,Ealing,2013,326000,5.161290322580636,12.694652660348845,0.39800522078534684
3428,Ealing,2014,387775,18.94938650306748,12.868180553492952,1.3669369126271036
3608,Ealing,2015,432000,11.404809490039325,12.976180867226248,0.8392819271095808
3788,Ealing,2016,465000,7.638888888888884,13.049792684569493,0.5672841500627079
3968,Ealing,2017,485000,4.3010752688172005,13.091904169919621,0.32269850079627016
2169,Enfield,2007,233000,,12.358793732547838,
2349,Enfield,2008,234600,0.6866952789699621,12.365637215201511,0.055373386770352084
2529,Enfield,2009,225000,-4.092071611253201,12.323855681186558,-0.33788419705205186
2709,Enfield,2010,241000,7.1111111111111125,12.392552212472792,0.5574272619169429
2889,Enfield,2011,240000,-0.4149377593360981,12.388394202324129,-0.03355249247590786
3069,Enfield,2012,248000,3.3333333333333437,12.421184025147118,0.26468178431744427
3249,Enfield,2013,250000,0.8064516129032251,12.429216196844383,0.06466510504155032
3429,Enfield,2014,285000,13.99999999999999,12.560244459250788,1.0541956977115907
3609,Enfield,2015,331000,16.140350877192986,12.7098736543592,1.1912920611844235
3789,Enfield,2016,385000,16.31419939577039,12.86099861326992,1.1890358867484796
3969,Enfield,2017,402500,4.545454545454541,12.905450375840756,0.3456322787016797
2204,England And Wales,2007,175000,,12.072541252905651,
2384,England And Wales,2008,170000,-2.857142857142858,12.043553716032399,-0.24011130934239455
2564,England And Wales,2009,168473,-0.8982352941176441,12.034530778546447,-0.07491922815058283
2744,England And Wales,2010,182000,8.029179749870895,12.111761966058932,0.6417465619030338
2924,England And Wales,2011,176000,-3.296703296703296,12.078239274020289,-0.27677799590666297
3104,England And Wales,2012,180000,2.2727272727272707,12.100712129872347,0.18606069429669692
3284,England And Wales,2013,185000,2.777777777777768,12.128111104060462,0.22642447728737913
3464,England And Wales,2014,195000,5.405405405405395,12.180754837545884,0.4340637468912778
3644,England And Wales,2015,208000,6.666666666666665,12.245293358683455,0.5298400796856839
3824,England And Wales,2016,219950,5.745192307692304,12.301155526776865,0.4561929751874638
