,Borough,Frequency08,Frequency09,Frequency10,Frequency11,Frequency12,Frequency13,Frequency14,Frequency15,Frequency16,Frequency17,Frequency18
2,Barking and Dagenham,19652,20140,19574,18730,17364,16535,16228,17180,17690,18674,18197
3,Barnet,26330,26108,25691,26393,25662,23214,23035,24623,25697,26999,28248
4,Bexley,16388,15778,14239,12325,12365,11914,12204,12346,13420,14822,15328
5,Brent,26936,28847,29349,31206,28611,24684,25211,25628,27630,29760,30716
6,Bromley,26463,24555,22033,22140,20655,19488,20185,21100,20734,22786,23208
7,Camden,34109,33967,33729,36221,33672,29303,27939,30345,30174,37944,35551
8,Croydon,32496,33124,32535,32372,32416,28451,28347,29332,30199,30588,30955
9,Ealing,32898,33210,35531,32879,30978,26733,25712,27012,27942,28317,28236
10,Enfield,25139,24180,23833,23589,22664,22355,22412,22842,23288,25225,27922
11,Greenwich,29438,26339,24683,22845,21479,19742,20624,21614,23531,25525,25649
12,Hackney,30057,28961,28091,27666,28571,26289,25200,27290,29132,31827,31197
13,Hammersmith and Fulham,22787,23179,23744,23675,22549,19343,19752,20479,20899,21718,22100
14,Haringey,28160,26272,24582,25357,24787,21475,23549,25483,28217,30331,30959
15,Harrow,14836,15286,15326,14023,13818,12448,12299,12989,13593,13957,14879
16,Havering,18129,17142,17495,17454,16832,15482,15244,16383,17471,18965,18695
17,Hillingdon,25390,24924,23641,24055,21574,19110,21633,21981,22738,28423,28349
18,Hounslow,23962,23504,23551,24197,23804,20016,20362,21797,22858,24878,25418
19,Islington,29547,28858,27941,27524,28017,24686,25694,28163,27852,32210,28722
20,Kensington and Chelsea,22556,20837,21123,20569,21358,18409,18460,19717,20256,21517,22001
21,Kingston upon Thames,11554,11130,11107,11089,10584,9465,9582,10088,10359,11489,12349
22,Lambeth,35704,35084,35461,36895,35919,33063,33092,34529,35442,34961,34953
23,Lewisham,31726,29825,28988,27916,25324,22879,21838,24285,24928,25125,26021
24,Merton,15210,14786,14593,14461,13686,12000,11917,12660,13227,13779,13791
25,Newham,34379,33373,35287,31910,32739,28599,28826,30275,31167,34552,35941
26,Redbridge,24303,24057,24020,24883,22915,20462,20315,19558,20185,23448,23514
27,Richmond upon Thames,11882,11695,11717,11984,11923,10756,10717,10733,11448,13237,12689
28,Southwark,40550,36766,36952,34850,32759,32266,29870,31210,32502,34124,35663
29,Sutton,13821,13137,12723,11867,11475,10362,10787,10877,11030,12058,12092
30,Tower Hamlets,28538,27147,28056,29411,29613,27529,26723,28593,30638,32029,33611
31,Waltham Forest,25827,27492,27410,25756,24434,22640,20891,21643,21460,22808,23650
32,Wandsworth,25705,25660,25269,23311,26144,23071,21999,23233,24690,25328,25823
33,Westminster,63323,63856,63526,66350,63636,55722,49225,49024,50212,57216,62995
